Afrika túra					

Legalacsonyabb ár		Aktuális ár		Legmagasabb ár	


Eladó			Darabszám					








Eladások					
Eladás ideje	Beszerzési ár	Változás	Eladó	Darabszám	Eladási ár
2005.10.11	730		Kis Péter	4	
2005.10.11	730		Arany Antónia	3	
2005.10.11	733		Arany Antal	4	
2005.10.13	733		Arany Antónia	4	
2005.10.14	733		Kis Péter	2	
2005.10.15	733		Arany Antal	1	
2005.10.15	724		Kiss Péter	1	
2005.10.17	724		Kosztka Ádám	3	
2005.10.18	724		Kis Péter	3	
2005.10.20	724		Kosztka Ádám	4	
2005.10.20	724		Kosztka Ádám	2	
2005.10.22	724		Kosztka Ádám	2	
2005.10.22	724		Kis Péter	1	
2005.10.23	724		Arany Antónia	1	
2005.10.24	724		Kis Péter	3	
2005.10.24	724		Kosztka Ádám	4	
2005.10.24	724		Kosztka Ádám	1	
2005.10.25	724		Kiss Péter	2	
2005.10.25	724		Kis Péter	4	
2005.10.26	724		Arany Antal	3	
2005.10.27	724		Kiss Péter	2	
2005.10.29	724		Kiss Péter	4	
2005.10.29	732		Kiss Péter	4	
2005.10.29	732		Kis Péter	4	
2005.10.30	732		Arany Antónia	3	
2005.10.31	732		Arany Antónia	4	
2005.10.31	732		Arany Antónia	3	
2005.10.31	732		Arany Antónia	1	
2005.11.02	732		Kiss Péter	4	
2005.11.02	732		Kis Péter	1	
2005.11.04	732		Kiss Péter	1	
2005.11.04	732		Arany Antal	3	
2005.11.04	726		Arany Antal	4	
2005.11.04	726		Kiss Péter	4	
2005.11.06	726		Kosztka Ádám	2	
2005.11.08	726		Kis Péter	4	
2005.11.08	726		Kis Péter	3	
2005.11.10	726		Arany Antal	4	
2005.11.11	726		Kiss Péter	2	
2005.11.12	726		Kosztka Ádám	3	
2005.11.14	726		Kis Péter	3	
2005.11.14	726		Arany Antónia	2	
2005.11.14	726		Kis Péter	1	
2005.11.16	726		Arany Antónia	2	
2005.11.17	726		Arany Antal	3	
2005.11.19	726		Kis Péter	4	
2005.11.19	726		Kosztka Ádám	1	
2005.11.19	729		Kosztka Ádám	1	
2005.11.21	729		Arany Antal	3	
2005.11.21	729		Kosztka Ádám	3	
2005.11.23	729		Arany Antónia	3	
2005.11.25	729		Kis Péter	1	
2005.11.27	729		Kis Péter	3	
2005.11.27	729		Kis Péter	3	
2005.11.29	729		Kosztka Ádám	2	
2005.12.01	729		Arany Antal	2	
2005.12.02	729		Kiss Péter	4	
2005.12.02	729		Arany Antónia	3	
2005.12.02	729		Kis Péter	4	
2005.12.03	729		Arany Antal	4	
2005.12.05	729		Kosztka Ádám	1	
2005.12.07	729		Kosztka Ádám	1	
2005.12.08	729		Arany Antónia	1	
2005.12.09	729		Arany Antónia	4	
2005.12.10	729		Kosztka Ádám	1	
2005.12.10	735		Arany Antónia	4	
2005.12.12	735		Kis Péter	3	
2005.12.13	735		Arany Antal	4	
2005.12.15	735		Kis Péter	4	
2005.12.16	735		Kosztka Ádám	2	
2005.12.16	735		Arany Antónia	3	
2005.12.16	735		Kosztka Ádám	2	
2005.12.16	730		Arany Antal	1	
2005.12.16	730		Kiss Péter	3	
2005.12.18	730		Kosztka Ádám	1	
