id	nev	ferfi	szulido
1	Skvar Tamás	1	1983.07.11
2	Tatár István	1	1983.06.21
3	Siket Karen	0	1984.05.01
4	Horváth Mercédesz	0	1973.04.10
5	Dombovári Petra	0	1956.11.25
6	Rém Elek	1	1968.04.06
7	Kamarás Zsófia Viktória	0	1984.11.03
8	Sebő Tas	1	1963.10.19
9	Szendrődi Csaba	1	1970.06.15
10	Berger Péter	1	1979.11.24
11	Csonka Anna	0	1966.12.17
12	Szelei Anikó Dorina	0	1966.12.21
13	Kovács Ágnes	0	1973.11.10
14	Szőke Mátyás	1	1964.11.04
15	Kiss Zsófia	0	1974.08.31
16	Bakos Kata Judit	0	1976.05.15
17	Bodnár Anna Katalin	0	1962.02.28
18	Keszthelyi Zsolt	1	1960.06.02
19	Kiss Lajos	1	1984.03.24
20	Szabó Orsolya Virág	0	1981.08.28
21	Vég Kálmán	1	1961.01.21
22	Hirzer Zsolt	1	1955.01.15
23	Kincses Zoltán	1	1967.02.28
24	Zentay Réka	0	1982.01.05
25	Kovai Róbert	1	1956.06.06
26	Koch Róbert	1	1977.02.14
27	Szilágyi István	1	1981.12.27
28	Horváth Pál	1	1967.03.16
29	Duma Árpád	1	1978.01.07
30	Nemes Gerda	0	1975.12.13
31	Zsolnai Péter	1	1980.12.30
32	Illés Nóra	0	1975.10.21
33	Fődi Anna	0	1964.04.24
34	Szűcs Lóránt	1	1964.08.31
35	Borsos Anett	0	1962.04.08
36	Sarlós Róbert	1	1961.07.19
37	Hoffmann Bettina	0	1982.10.16
38	Farkas Ildikó	0	1964.11.15
39	Gál Brigitta	0	1959.11.04
40	Szabó Izabella Diána	0	1970.09.29
41	Dudás Krisztián	1	1977.10.22
42	Csordás Kálmán	1	1957.06.13
43	Tóth Alexandra	0	1961.02.27
44	Csóti Bettina	0	1982.05.05
45	Dorogi Nóra Gréta	0	1982.04.12
46	Nemes Petra	0	1978.01.04
47	Schulcz Imola	0	1967.03.11
48	Senkey Tamás	1	1961.10.26
49	Nyers Sándor	1	1958.11.21
50	Szekeres József	1	1960.07.29
51	Berényi Zsolt	1	1963.10.15
52	Bánfalvi Ramóna	0	1975.02.15
53	Rácz Lili	0	1970.02.19
54	Botos Noémi	0	1963.06.14
55	Kasznár Judit	0	1979.02.06
56	Lengyel Zsófia	0	1961.09.05
57	Kerekes Lili	0	1965.11.21
58	Kis Barbara Emma	0	1979.05.12
59	Vida Csongor	1	1958.06.28
60	Nagy Eszter	0	1970.02.24
61	Benkő Kata Enikő	0	1956.07.04
62	Urbán Roland	1	1969.02.01
63	Samu Blanka	0	1956.08.06
64	Pálinkás Anna	0	1978.08.10
65	Falch Emil	1	1962.05.19
66	Teleki Kálmán	1	1979.02.27
67	Sima Dezső	1	1965.04.04
68	Rudas Ádám	1	1984.10.24
69	Forrai Laura	0	1954.12.30
70	Irinyi Katalin Ida	0	1967.09.26
71	Hódi Vivien	0	1978.03.16
72	Máté Oszkár	1	1961.03.28
73	Püski Kata	0	1958.02.01
74	Mészáros Anita Réka	0	1977.07.22
75	Kis Nóra Judit	0	1974.09.23
76	Nyári Judit	0	1976.01.31
77	Balog Orsolya	0	1975.01.12
78	Zombori Adrienn	0	1971.12.19
79	Tóti Albert	1	1969.09.23
80	Szabó Lilla	0	1967.06.10
81	Petres Zoltán	1	1959.05.08
82	Barta Petra	0	1982.12.04
83	Rovó Petra	0	1973.06.26
84	Bor János	1	1982.12.02
85	Fogó Róbert	1	1980.03.13
86	Juhász Imre	1	1975.05.04
87	Nagy Tímea	0	1966.01.30
88	Tanács Lilla	0	1967.10.22
89	Kiss Sándor	1	1980.12.23
90	Kovács Vivien	0	1975.12.24
91	Kun Anna	0	1963.05.24
92	Pályi Balázs	1	1954.11.30
93	Kristóf Petra	0	1971.10.23
94	Gábor Zita	0	1960.11.04
95	Lakatos Zita Ildikó	0	1955.06.07
96	Garadnai Zoltán	1	1970.09.14
97	Bognár Ágnes	0	1967.10.03
98	Dobi Brigitta Krisztina	0	1980.11.05
99	Dócz Károly	1	1967.11.08
100	Halász Norbert	1	1974.12.29
101	Szántó Lilla	0	1979.11.09
102	Dóka Csenge	0	1969.07.13
