dátum	nap	dupla díj	név	érkezés	késés
2012.07.01			Zita	7:53:00	
2012.07.02			Zita	7:46:00	
2012.07.03			Bea	8:08:00	
2012.07.04			Zita	8:00:00	
2012.07.05			Rita	7:48:00	
2012.07.06			Péter	7:41:00	
2012.07.07			Péter	8:00:00	
2012.07.08			Rita	7:56:00	
2012.07.09			Bea	7:44:00	
2012.07.10			Anna	7:49:00	
2012.07.11			Zita	8:02:00	
2012.07.12			Csilla	7:53:00	
2012.07.13			Zita	7:45:00	
2012.07.14			Zita	8:01:00	
2012.07.15			Bea	8:04:00	
2012.07.16			Bea	7:42:00	
2012.07.17			Zita	7:58:00	
2012.07.18			Péter	7:42:00	
2012.07.19			Bea	7:43:00	
2012.07.20			Bea	8:05:00	
2012.07.21			István	7:47:00	
2012.07.22			Rita	7:53:00	
2012.07.23			Péter	8:00:00	
2012.07.24			Péter	9:09:00	
2012.07.25			Rita	7:44:00	
2012.07.26			István	7:52:00	
2012.07.27			Anna	8:02:00	
2012.07.28			Bea	7:53:00	
2012.07.29			Zita	8:01:00	
2012.07.30			István	8:04:00	
2012.07.31			István	7:50:00	

			Munkakezdés	8:00:00	
