Vevo;Varos;Cim;Irsz;Szamla_datum;Befizetes_hatarido;Azonosito;Tartozas;Szallitas;Osszertek
Lengyel Ilona;Várvölgy;Fenyves liget 5.;8316;2005.11.7.;2005.12.15.;668388;33419;6549;39968
Nagy Árkád;Lucfalva;Ezredes u. 19.;3129;2005.11.5.;2005.12.18.;841965;4394;24877;29271
Takács Zinajda;Beregdaróc;Gesztenyefa u. 1.;4934;2005.11.7.;2005.12.21.;453640;26204;51024;77228
Szabó Angelika;Gagyapáti;Fenyves liget 1.;3837;2005.11.11.;2005.12.22.;715686;28289;18537;46826
Nagy Avarka;Nagyar;Kisfaludy köz 9.;4922;2005.11.9.;2005.12.23.;381083;6728;15484;22212
Somogyi Harmatka;Visegrád;Borkö u. 8.;2025;2005.11.6.;2005.12.12.;358817;27970;37164;65134
Rácz Bodó;Jásztelek;Kossuth u. 8.;5141;2005.11.10.;2005.12.16.;088015;11164;34019;45183
Lengyel Tegza;Barabás;Földvár u. 26.;4937;2005.11.9.;2005.12.13.;188028;25435;8630;34065
Tóth Zsazsa;Szendehely;Homokdülö u. 29.;2640;2005.11.11.;2005.12.12.;508539;33250;31419;64669
Nagy János;Kazsok;Kisfaludy köz 28.;7274;2005.11.13.;2005.12.9.;246400;27802;10022;37824
Juhász Kál;Zsujta;Dózsa Gy. út 10.;3897;2005.11.6.;2005.12.15.;920219;34827;43082;77909
Takács Szultána;Baracska;Csapás u. 4.;2471;2005.11.9.;2005.12.20.;706803;33094;26587;59681
Szabó Olavi;Szentendre;Cipös u. 12.;2000;2005.11.14.;2005.12.7.;980293;31128;41497;72625
Kiss Kapolcs;Kisgyalán;Fenyves u. 3.;7279;2005.11.8.;2005.12.18.;160697;25494;30104;55598
Molnár Titán;Girincs;Gesztenyefa u. 19.;3578;2005.11.7.;2005.12.16.;275506;18805;18361;37166
Molnár Rémus;Súr;Korizmics u. 7.;2889;2005.11.10.;2005.12.13.;257246;12519;32370;44889
Rácz Árkád;Taszár;Aradi u. 19.;7261;2005.11.9.;2005.12.14.;497840;33854;29644;63498
Tóth Zotmund;Csobánka;Diósok u. 28.;2014;2005.11.5.;2005.12.23.;107880;6155;45467;51622
Lengyel Villõ;Nyírbogdány;Postaköz u. 11.;4511;2005.11.12.;2005.12.24.;000237;15058;42972;58030
Rácz Anada;Paks;Boncsoki u. 14.;7030;2005.11.12.;2005.12.22.;923952;16033;16329;32362
Szabó Natália;Tornanádaska;Körösi Cs. S. köz 13.;3767;2005.11.7.;2005.12.11.;717776;24871;35757;60628
Nagy Iduna;Uzsa;Bem u. 6.;8321;2005.11.14.;2005.12.23.;226257;29783;39246;69029
Lengyel Ajtonka;Balatonendréd;Körösi Cs. S. u. 16.;8613;2005.11.11.;2005.12.22.;901888;9611;6607;16218
Budai Kamilló;Legyesbénye;Présház u. 14.;3904;2005.11.10.;2005.12.12.;207403;26013;52197;78210
Tóth Oktáv;Etes;Panoráma u. 17.;3136;2005.11.8.;2005.12.9.;331107;12964;34851;47815
Horváth Liána;Sénye;Csapás u. 2.;8788;2005.11.12.;2005.12.12.;039369;3601;31696;35297
Budai Aníziusz;Pély;Kisfaludy u. 19.;3381;2005.11.13.;2005.12.22.;457018;22026;31681;53707
Somogyi Petróniusz;Galgamácsa;Papdülö u. 14.;2183;2005.11.5.;2005.12.13.;508161;29330;31969;61299
Kovács Alesszia;Szigetszentmiklós;Arany János u. 15.;2310;2005.11.8.;2005.12.18.;814522;31809;24472;56281
Molnár Miranda;Tésenfa;Kisfaludy köz 11.;7843;2005.11.5.;2005.12.9.;910690;4062;8258;12320
Varga Dolli;Panyola;Diósok u. 13.;4913;2005.11.14.;2005.12.22.;394477;13370;31565;44935
Kiss Marcellina;Kiscsécs;Aradi u. 9.;3578;2005.11.6.;2005.12.9.;459962;12814;36568;49382
Tóth Béke;Pap;Koncz köz 25.;4631;2005.11.10.;2005.12.5.;971382;35789;21127;56916
Tóth Rózamari;Panyola;Aranyhegy u. 3.;4913;2005.11.6.;2005.12.16.;309394;15897;33808;49705
Nagy Vilja;Gyepükaján;Postaköz u. 16.;8473;2005.11.10.;2005.12.22.;324074;34154;32927;67081
Lengyel Zolta;Büssü;Aradi u. 10.;7273;2005.11.14.;2005.12.11.;267741;29009;8717;37726
Somogyi Szeréna;Felsõmocsolád;Ág u. 26.;7456;2005.11.7.;2005.12.14.;641584;22931;29043;51974
Takács Léla;Tilaj;Borkö u. 13.;8782;2005.11.9.;2005.12.13.;085836;29411;25745;55156
Varga Ella;Igal;Akácfa u. 6.;7275;2005.11.10.;2005.12.5.;829247;2481;6714;9195
Lengyel Eufémia;Gölle;Arany János u. 3.;7272;2005.11.14.;2005.12.16.;391097;35299;6906;42205
Somogyi Gerle;Márianosztra;Présház u. 15.;2629;2005.11.7.;2005.12.6.;388724;24577;7016;31593
Kovács Tarzícia;Pakod;Fenyves liget 13.;8799;2005.11.13.;2005.12.16.;191754;10943;21068;32011
Juhász Lina;Mesztegnyõ;Jókai köz 10.;8716;2005.11.10.;2005.12.16.;435891;16394;14814;31208
Rácz Helén;Tököl;Ezredes u. 23.;2316;2005.11.11.;2005.12.18.;193800;23171;31873;55044
Takács Floransz;Tahitótfalu;Postaköz u. 19.;2021;2005.11.10.;2005.12.5.;607766;30147;21633;51780
Tóth Bazil;Visegrád;Korizmics u. 18.;2025;2005.11.12.;2005.12.20.;680176;5143;35112;40255
Varga Kármen;Olcsvaapáti;Illés tetö 17.;4914;2005.11.10.;2005.12.14.;287561;13147;41919;55066
Takács Szeveréd;Gödöllõ;Homokdülö u. 11.;2100;2005.11.6.;2005.12.16.;233516;18188;29500;47688
Szabó Albina;Vállus;Kisfaludy köz 22.;8316;2005.11.14.;2005.12.14.;335294;29109;37656;66765
Juhász Karmelina;Tarnabod;Ezredes u. 5.;3369;2005.11.6.;2005.12.13.;047406;6513;22082;28595
