utasazon;nev;szuldatum;telefon
1;"Magyar Mariann";1942.10.19;"(30) 2465256"
2;"Eszes Brigitta";1943.6.19;"(30) 4946875"
3;"Turai Katalin";1937.2.14;"(30) 1478185"
4;"Császár Dénes";1972.6.27;"(30) 2568600"
5;"Szûcs Tibor";1972.12.4;"(30) 4637377"
6;"Kaló Lajos";1959.2.4;"(70) 3064583"
7;"Baranyai Szonja";1979.4.25;"(20) 4443779"
8;"Csutor Lehel";1946.7.15;"(70) 3834449"
9;"Császár Nikolett";1940.10.2;"(20) 3725237"
10;"Vörös Miklós";1934.2.2;"(30) 2110544"
11;"Kuhárszky Helga";1929.12.12;"(30) 1712082"
12;"Bethlen Georgina";1961.12.27;"(70) 3026363"
13;"Eszes Géza";1979.5.15;"(30) 1977571"
14;"Halmos Tibor";1959.6.1;"(20) 3438877"
15;"Kelemen Katalin";1958.11.16;"(20) 3298180"
16;"Filkor Katalin";1934.8.12;"(30) 1353913"
17;"Zoltai Brigitta";1926.2.20;"(70) 4516566"
18;"Tolnai Szonja";1953.9.5;"(70) 2054451"
19;"Kertész József";1937.5.9;"(20) 2536280"
20;"Illés Pál";1978.5.16;"(30) 2141189"
21;"Kalányos Géza";1968.10.7;"(20) 1045205"
22;"Zsengellér Szonja";1928.11.7;"(30) 4787700"
23;"Szekeres Georgina";1937.4.9;"(30) 4562652"
24;"Zsikla Pál";1944.6.30;"(70) 3023227"
25;"Antal Andrea";1948.12.18;"(20) 2950083"
26;"Koller Péter";1954.5.9;"(30) 1954292"
27;"Megyeri Dávid";1979.4.23;"(30) 4021645"
28;"Filkor Zita";1960.3.30;"(30) 2321528"
29;"Kuhárszky Sára";1966.7.29;"(20) 1387081"
30;"Szûcs Zsuzsanna";1935.9.16;"(20) 2869094"
31;"Zoltai Edina";1968.12.9;"(20) 1783735"
32;"Békési Mariann";1945.4.27;"(20) 1303604"
33;"Zsengellér Judit";1945.12.19;"(20) 3278939"
34;"Csutor Gabriella";1977.3.2;"(20) 1798080"
35;"Gelencsér Bálint";1943.5.30;"(30) 3201647"
36;"Magyar Klaudia";1971.1.2;"(30) 1966250"
37;"Darázs Ilona";1978.11.5;"(30) 3641136"
38;"Kalas Tibor";1955.4.15;"(70) 3461626"
39;"Halmos Klaudia";1964.9.21;"(30) 1539015"
40;"Józsa Katalin";1949.2.22;"(20) 2714290"
41;"Braun Dávid";1969.1.2;"(30) 4209811"
42;"Hegyi Zsolt";1976.11.25;"(30) 3360512"
43;"Kuhárszky Sándor";1950.12.7;"(20) 2986100"
44;"Kalas Géza";1920.4.6;"(70) 2628841"
45;"Csikós Miklós";1939.5.5;"(30) 1953130"
46;"Békési Lehel";1933.4.14;"(30) 3339428"
47;"Zsikla János";1978.6.13;"(20) 1558332"
48;"Nyúzó Ilona";1965.8.7;"(30) 3850299"
49;"Lengyel Alajos";1927.8.27;"(30) 4475267"
50;"Vállas Alajos";1945.11.13;"(30) 2475525"
51;"Zoltai János";1948.4.13;"(30) 2176619"
52;"Kisteleki Lajos";1948.3.4;"(70) 3619969"
53;"Kaló Klaudia";1932.7.1;"(70) 3416050"
54;"Vörös Roland";1942.9.26;"(30) 3753410"
55;"Abonyi Alajos";1925.4.19;"(30) 1402958"
56;"Baranyai Attila";1957.6.9;"(20) 1419880"
57;"Békési Barbara";1974.11.17;"(20) 1074044"
58;"Braun Sára";1951.9.15;"(70) 1331871"
59;"Abonyi Lajos";1938.3.21;"(30) 2983456"
60;"Zoltai Mariann";1978.8.10;"(30) 3569764"
61;"Csikós Bálint";1920.7.23;"(30) 2095180"
62;"Abonyi Szonja";1944.4.15;"(30) 3735745"
63;"Turai Sándor";1933.5.8;"(30) 4068061"
64;"Hertelendi Alajos";1977.8.25;"(20) 2977708"
65;"Cseszneki Tibor";1936.9.8;"(20) 2702315"
66;"Zsikla Zsófia";1928.11.25;"(70) 2390115"
67;"Verpeléti Barbara";1948.4.25;"(30) 2102710"
68;"Fekete Zsuzsanna";1959.2.15;"(70) 3122346"
69;"Zsengellér Tibor";1978.7.19;"(30) 4402340"
70;"Csikós Szonja";1975.6.26;"(70) 1850500"
71;"Tolnai Etelka";1958.6.5;"(30) 3005023"
72;"Braun Edina";1976.12.7;"(30) 1959192"
73;"Turai Pál";1932.7.10;"(20) 2308695"
74;"Antal Miklós";1927.10.19;"(70) 3360925"
75;"Antal Judit";1955.6.18;"(30) 1778047"
76;"Solymos Sára";1964.12.2;"(30) 3888708"
77;"Kisteleki Etelka";1928.10.16;"(30) 2053624"
78;"Hertelendi Tibor";1977.12.14;"(20) 1454551"
79;"Kaló Klaudia";1929.7.19;"(70) 2008828"
80;"Józsa Sára";1935.1.26;"(30) 2829555"
81;"Zsikla Kitti";1959.8.11;"(30) 1816819"
82;"Békési Mátyás";1942.12.9;"(30) 2885284"
83;"Kalányos János";1934.3.19;"(20) 3476038"
84;"Solymos Helga";1932.7.18;"(30) 3914936"
85;"Cseszneki Barbara";1977.2.27;"(20) 2511885"
86;"Józsa Miklós";1975.7.22;"(20) 1522517"
87;"Császár Mariann";1946.7.13;"(20) 4708792"
88;"Nyúzó Zoltán";1962.6.28;"(70) 4992302"
89;"Cseszneki Klaudia";1959.6.6;"(30) 2874760"
90;"Nyúzó Dániel";1961.1.12;"(30) 1938581"
91;"Megyeri Ilona";1961.12.18;"(70) 2827808"
92;"Braun Gabriella";1960.9.27;"(20) 2193565"
93;"Verpeléti Dániel";1933.3.26;"(20) 2509602"
94;"Tolnai Anikó";1931.10.9;"(30) 1128820"
95;"Solymos Dávid";1978.12.12;"(30) 2872396"
96;"Cseszneki Mátyás";1944.7.24;"(20) 4069151"
97;"Kalas Sára";1971.1.14;"(30) 4972856"
98;"Turai Bernadett";1930.9.27;"(30) 4306048"
99;"Molnár Tibor";1921.6.1;"(30) 3208074"
100;"Latorczai Zoltán";1974.4.7;"(70) 4368339"
101;"Zsengellér Dávid";1972.6.24;"(70) 3279958"
102;"Fekete Sára";1961.4.7;"(30) 1498449"
103;"Molnár Gabriella";1966.6.12;"(70) 1593392"
104;"Csutor Zoltán";1923.4.8;"(20) 4533011"
105;"Kovács Bernadett";1954.5.29;"(20) 1966168"
106;"Antal Brigitta";1953.3.25;"(30) 2365347"
107;"Hertelendi András";1935.10.24;"(70) 3020539"
108;"Varga Nikolett";1969.4.25;"(20) 3202571"
109;"Abonyi Roland";1936.6.18;"(70) 2008140"
110;"Zsengellér Lajos";1931.3.18;"(30) 3608829"
111;"Szûcs Roland";1954.5.12;"(30) 1814395"
112;"Kertész Enikõ";1937.12.4;"(30) 4707175"
113;"Kalas András";1941.11.22;"(30) 2354241"
114;"Abonyi Kitti";1924.7.5;"(20) 1122660"
115;"Magyar Dávid";1925.12.19;"(20) 2077928"
116;"Koller Roland";1977.2.2;"(30) 1511384"
117;"Solymos Sára";1964.6.24;"(20) 2224222"
118;"Molnár János";1950.3.21;"(30) 1809607"
119;"Antal Lajos";1920.12.22;"(20) 3002807"
120;"Nagy Andrea";1941.6.29;"(20) 4476091"
121;"Szekeres Bálint";1954.5.29;"(30) 4768575"
122;"Kuhárszky Nikolett";1955.8.11;"(30) 2539463"
123;"Vállas László";1948.3.12;"(20) 4099865"
124;"Solymos Szonja";1969.8.6;"(70) 3487512"
125;"Nyúzó Ferenc";1960.8.1;"(30) 2938017"
126;"Kovács Andrea";1973.10.16;"(20) 3929453"
127;"Zsikla Brigitta";1951.9.18;"(30) 1730439"
128;"Illés Dénes";1969.12.25;"(30) 3793842"
129;"Latorczai Brigitta";1945.2.3;"(70) 4966269"
130;"Filkor József";1972.1.24;"(30) 4776022"
131;"Kiss Georgina";1921.12.8;"(70) 2266848"
132;"Koltai Klaudia";1948.9.17;"(30) 1171377"
133;"Gelencsér Ilona";1947.2.25;"(20) 2819336"
134;"Antal Zsófia";1968.3.20;"(30) 1504484"
135;"Vállas Lehel";1921.11.6;"(30) 4470489"
136;"Kertész Mátyás";1934.6.28;"(30) 4966883"
137;"Latorczai András";1945.12.23;"(70) 4876609"
138;"Horkai Zsuzsanna";1932.10.29;"(30) 1259220"
139;"Horkai Zsolt";1943.11.30;"(70) 3650818"
140;"Fekete Brigitta";1975.8.24;"(30) 1248501"
141;"Solymos Attila";1976.5.22;"(70) 1334535"
142;"Illés Gabriella";1936.6.23;"(30) 1206783"
143;"Vörös Tibor";1956.11.11;"(70) 3970674"
144;"Solymos Kitti";1926.9.18;"(30) 2923772"
145;"Kalányos Dávid";1926.4.20;"(70) 4054769"
146;"Braun János";1924.7.5;"(30) 1032318"
147;"Koltai Kitti";1942.7.16;"(20) 3511839"
148;"Molnár Miklós";1953.9.4;"(20) 2530764"
149;"Szekeres Ilona";1965.12.5;"(20) 4926781"
150;"Tóth András";1935.4.8;"(30) 2696084"
151;"Gelencsér Zita";1976.3.15;"(20) 2309435"
152;"Vállas Zsolt";1954.12.3;"(20) 3172152"
153;"Zsikla Lajos";1922.7.15;"(20) 1463134"
