megrendeloazon;nev;varos;lakcim;telefon
1;Ábrahám Edina;Szeged;Arany János tér 75.;(20) 4578410
2;Ábrahám Ferenc;Keszthely;Ady Endre tér 7.;(70) 4118142
3;Ábrahám Lajos;Budapest;Rákóczi Ferenc köz 2.;(20) 4944479
4;Ábrahám Mariann;Szeged;Kossuth Lajos köz 67.;(30) 3881083
5;Ábrahám Sándor;Tapolca;Köztársaság sétány 6.;(20) 4905466
6;Antal Helga;Kiskunfélegyháza;Széchenyi park 57.;(20) 1802966
7;Antal Klaudia;Siófok;Köztársaság tér 40.;(70) 4614259
8;Antal Lajos;Kiskunfélegyháza;Nagy Lajos király sétány 30.;(20) 2165628
9;Antal Zoltán;Tapolca;Báthory utca 50.;(70) 1881724
10;Balogh András;Szeged;Kossuth Lajos tér 2.;(70) 3329766
11;Balogh Helga;Kiskunfélegyháza;Radnóti Miklós utca 65.;(20) 3284521
12;Balogh Lajos;Tapolca;Báthory park 43.;(20) 3980628
13;Balogh Sándor;Sopron;Arany János tér 63.;(20) 1239853
14;Baranyai Edina;Sátoraljaújhely;Nagy Lajos király utca 42.;(30) 2293090
15;Baranyai Etelka;Keszthely;Báthory köz 24.;(30) 2006527
16;Baranyai Helga;Kiskunfélegyháza;Ady Endre park 77.;(20) 1638375
17;Baranyai László;Sátoraljaújhely;Nagy Lajos király park 11.;(70) 1242824
18;Baranyai Sándor;Budapest;Széchenyi park 13.;(30) 1582129
19;Baranyai Tibor;Pécs;Kossuth Lajos tér 76.;(70) 3550935
20;Békési Andrea;Kiskunfélegyháza;Bethlen Gábor tér 59.;(70) 1069536
21;Békési Dénes;Pécs;Báthory park 14.;(30) 3085813
22;Békési Helga;Tapolca;Liszt Ferenc sétány 45.;(30) 4429013
23;Békési Katalin;Budapest;Petőfi Sándor utca 36.;(30) 3953783
24;Békési Katalin;Tapolca;Arany János tér 63.;(70) 3627391
25;Békési Mariann;Pécs;Radnóti Miklós tér 71.;(30) 1555232
26;Boros Andrea;Kiskunfélegyháza;Kossuth Lajos tér 52.;(30) 3452385
27;Boros Attila;Pécs;Kisfaludy tér 31.;(30) 2550519
28;Boros Sándor;Debrecen;Radnóti Miklós park 40.;(20) 1563565
29;Boros Tibor;Ózd;Nagy Lajos király sétány 52.;(20) 3203351
30;Braun Andrea;Szeged;Kossuth Lajos tér 29.;(20) 1984119
31;Braun Dénes;Keszthely;Nagy Lajos király utca 59.;(20) 2679982
32;Braun Katalin;Budapest;Mátyás király park 60.;(20) 4203087
33;Cziglói Anikó;Sopron;Báthory park 24.;(30) 1337951
34;Cziglói Bálint;Kiskunfélegyháza;Batthyány köz 64.;(30) 4091361
35;Cziglói Dénes;Győr;Mátyás király sétány 50.;(20) 1624076
36;Cziglói Edina;Kőszeg;Batthyány utca 76.;(30) 3025360
37;Cziglói Etelka;Ózd;Ady Endre sétány 41.;(30) 4663099
38;Cziglói Etelka;Kőszeg;Báthory utca 34.;(30) 4910642
39;Cziglói Ferenc;Kőszeg;Batthyány utca 20.;(20) 1219580
40;Cziglói János;Sátoraljaújhely;Radnóti Miklós utca 45.;(30) 4868692
41;Cziglói Mariann;Debrecen;Radnóti Miklós köz 33.;(70) 4178643
42;Csala András;Győr;Petőfi Sándor park 53.;(20) 2569796
43;Csala Attila;Kiskunfélegyháza;Radnóti Miklós köz 15.;(30) 3138417
44;Csala Etelka;Hatvan;Nagy Lajos király sétány 61.;(70) 2794673
45;Csala Etelka;Miskolc;Mátyás király tér 35.;(70) 2520493
46;Csala Etelka;Kőszeg;Rákóczi Ferenc park 56.;(30) 2575443
47;Csala Ferenc;Ózd;Bethlen Gábor sétány 65.;(70) 2932369
48;Csala Helga;Győr;Kossuth Lajos köz 23.;(20) 3367420
49;Csala József;Ózd;Liszt Ferenc tér 34.;(20) 1736305
50;Csala Judit;Tapolca;Köztársaság sétány 38.;(20) 2224914
51;Csala Katalin;Miskolc;Petőfi Sándor tér 7.;(20) 2586697
52;Csikós Bálint;Kőszeg;Köztársaság utca 57.;(30) 1321370
53;Csikós Edina;Sopron;Arany János park 1.;(20) 4591831
54;Csikós Ferenc;Tapolca;Petőfi Sándor park 6.;(30) 2729365
55;Csikós Lehel;Budapest;Széchenyi park 41.;(30) 1867924
56;Csikós Roland;Szeged;Nagy Lajos király sétány 64.;(30) 2914483
57;Csikós Tibor;Debrecen;Radnóti Miklós sétány 15.;(20) 3589546
58;Csikós Tibor;Hatvan;Ady Endre köz 15.;(20) 2437418
59;Csikós Zoltán;Budapest;Kisfaludy tér 30.;(70) 1081131
60;Csiszár Andrea;Siófok;Arany János köz 14.;(70) 1196560
61;Csiszár Dávid;Debrecen;Bethlen Gábor sétány 16.;(30) 2319759
62;Csiszár Etelka;Sopron;Kisfaludy tér 75.;(30) 4376893
63;Csiszár Géza;Szeged;Petőfi Sándor tér 18.;(30) 4218576
64;Csiszár János;Kiskunfélegyháza;Petőfi Sándor park 23.;(20) 1251362
65;Csiszár Lehel;Debrecen;Batthyány park 52.;(30) 1534691
66;Csiszár Sándor;Siófok;Bethlen Gábor park 75.;(20) 3263904
67;Csiszár Zsuzsanna;Sátoraljaújhely;Mátyás király sétány 49.;(70) 4222487
68;Darázs Andrea;Budapest;Petőfi Sándor utca 45.;(30) 1137689
69;Darázs Klaudia;Kőszeg;Batthyány tér 68.;(20) 4554716
70;Darázs Tibor;Győr;Radnóti Miklós sétány 46.;(70) 2672148
71;Darázs Zoltán;Kiskunfélegyháza;Radnóti Miklós köz 6.;(30) 2775238
72;Darázs Zoltán;Keszthely;Széchenyi utca 65.;(30) 2307818
73;Faragó Bálint;Pécs;Radnóti Miklós sétány 36.;(20) 2926535
74;Faragó Dénes;Ózd;Köztársaság sétány 45.;(20) 3458464
75;Faragó Etelka;Kőszeg;Mátyás király köz 29.;(30) 2737215
76;Faragó Etelka;Ózd;Nagy Lajos király utca 72.;(70) 3246700
77;Faragó Tibor;Debrecen;Petőfi Sándor park 19.;(30) 4272063
78;Fekete Dávid;Sátoraljaújhely;Mátyás király köz 60.;(70) 4654162
79;Fekete János;Kőszeg;Radnóti Miklós sétány 75.;(20) 1176031
80;Fekete Judit;Kőszeg;Arany János köz 56.;(20) 4809119
81;Fekete Miklós;Debrecen;Batthyány park 26.;(20) 2896508
82;Fekete Pál;Tapolca;Ady Endre sétány 11.;(30) 2938940
83;Galambos Attila;Hatvan;Arany János park 57.;(20) 2234310
84;Galambos Etelka;Tapolca;Petőfi Sándor köz 20.;(20) 4650973
85;Galambos László;Szeged;Kisfaludy park 38.;(20) 2730571
86;Galambos Mátyás;Sátoraljaújhely;Ady Endre sétány 16.;(20) 1248038
87;Galambos Zoltán;Debrecen;Köztársaság tér 1.;(20) 3658663
88;Gutman Andrea;Sopron;Báthory utca 13.;(30) 4712013
89;Gutman Bálint;Szeged;Nagy Lajos király sétány 56.;(30) 3105369
90;Gutman Etelka;Miskolc;Ady Endre tér 33.;(30) 4090874
91;Gutman Helga;Miskolc;Arany János park 63.;(20) 2473246
92;Gutman Mariann;Miskolc;Széchenyi utca 24.;(30) 3134313
93;Gutman Zoltán;Pécs;Báthory utca 9.;(20) 2125759
94;Halmos Andrea;Tapolca;Radnóti Miklós utca 6.;(30) 3310429
95;Halmos Attila;Kiskunfélegyháza;Ady Endre park 15.;(20) 3064331
96;Halmos Helga;Kőszeg;Batthyány köz 57.;(30) 2432400
97;Halmos Judit;Kőszeg;Nagy Lajos király park 7.;(30) 1315603
98;Halmos Lajos;Budapest;Rákóczi Ferenc sétány 26.;(30) 3001584
99;Hegyi Anikó;Pécs;Liszt Ferenc sétány 15.;(70) 2295014
100;Hegyi József;Miskolc;Petőfi Sándor park 64.;(30) 3476835
101;Hegyi Katalin;Siófok;Nagy Lajos király tér 45.;(70) 1763703
102;Hegyi Mariann;Sátoraljaújhely;Liszt Ferenc köz 40.;(30) 1863803
103;Hegyi Roland;Hatvan;Liszt Ferenc park 53.;(20) 4228669
104;Hertelendi Edina;Pécs;Kossuth Lajos park 56.;(30) 4477661
105;Hertelendi Edina;Keszthely;Petőfi Sándor sétány 55.;(20) 1071762
106;Hertelendi Géza;Sátoraljaújhely;Mátyás király utca 45.;(70) 4558307
107;Hertelendi Katalin;Miskolc;Liszt Ferenc park 45.;(70) 4892244
108;Hertelendi Katalin;Szeged;Arany János park 3.;(70) 1035503
109;Hertelendi Pál;Szeged;Nagy Lajos király sétány 52.;(30) 4043519
110;Hertelendi Tibor;Sátoraljaújhely;Liszt Ferenc köz 4.;(30) 1037020
111;Hertelendi Zoltán;Kiskunfélegyháza;Bethlen Gábor utca 33.;(30) 4635049
112;Hertelendi Zsuzsanna;Pécs;Rákóczi Ferenc park 63.;(20) 3855241
