Sorszám;Név;Életkor;Korcsoport;Kedvezmény;Jegyár kategória;Napok száma;Napi egységár;Fizetendő
1;Szép Lajos;14;2;25%;IV;2; 1 800 Ft ; 2 700 Ft 
2;Vad Géza;59;5;30%;V;3; 2 000 Ft ; 4 200 Ft 
3;Szellő Zsanett;17;2;25%;II;4; 1 400 Ft ; 4 200 Ft 
4;Csáki Klaudia;7;1;10%;IV;1; 1 800 Ft ; 1 620 Ft 
5;Zichy Erzsébet;33;4;10%;V;4; 2 000 Ft ; 7 200 Ft 
6;Kovács H. Tibor;25;4;10%;III;2; 1 600 Ft ; 2 880 Ft 
7;Emődi Zsolt;52;5;30%;II;1; 1 400 Ft ; 980 Ft 
8;Répás Katatin;26;4;10%;II;1; 1 400 Ft ; 1 260 Ft 
9;Hidvégi Emanuella;49;5;30%;V;2; 2 000 Ft ; 2 800 Ft 
10;Arató Judit;22;3;15%;III;3; 1 600 Ft ; 4 080 Ft 
11;Balogh Eszter;51;5;30%;II;4; 1 400 Ft ; 3 920 Ft 
12;Horváth Ildikó;42;5;30%;III;4; 1 600 Ft ; 4 480 Ft 
13;Joó András;30;4;10%;III;3; 1 600 Ft ; 4 320 Ft 
14;Kiss Róbert;11;1;10%;III;3; 1 600 Ft ; 4 320 Ft 
15;Gyémánt Péter;20;3;15%;V;4; 2 000 Ft ; 6 800 Ft 
16;Iglói Zoltán;13;1;10%;I;3; 1 200 Ft ; 3 240 Ft 
17;Vereckei Szabolcs;24;4;10%;III;3; 1 600 Ft ; 4 320 Ft 
18;Kiss Marietta;39;5;30%;IV;1; 1 800 Ft ; 1 260 Ft 
19;Molnár Patrik;54;5;30%;V;3; 2 000 Ft ; 4 200 Ft 
20;Róth Imre;61;6;20%;V;4; 2 000 Ft ; 6 400 Ft 
;;;;;;;;
